n_estimators,max_depth,min_samples_leaf,min_samples_split,bootstrap,MAE,MSE,year,ws_1,temp_2,temp_1,average
400,5.0,4,5,True,3.6585056908971363,21.78378939640315,0.0017768641614882604,0.008307168554481515,0.00252823905862281,0.9358023846571498,0.05158534356825759
600,5.0,4,5,True,3.6585172323624735,21.761046199788563,0.001827511025165647,0.008228499153724827,0.0025036471506266656,0.9305233035101704,0.056917039160312474
200,5.0,4,10,True,3.6656383325293675,21.853017275337994,0.0018256866000702036,0.008291543007012759,0.002451412519242895,0.9307396187437513,0.056691739129922786
400,5.0,4,10,True,3.658665492705052,21.788374154767506,0.001754640950466197,0.008276676677394464,0.0025114508934664763,0.9358859312062665,0.05157130027240638
600,5.0,4,10,True,3.658635727266123,21.7671795140218,0.0018106110790702648,0.008199190275879266,0.0024890360301422503,0.9305890263136486,0.05691213630125966
200,10.0,1,2,True,3.812558632066924,23.582798690737555,0.013304525962476818,0.030864263815603372,0.021282025967812875,0.8578324535571143,0.0767167306969925
400,10.0,1,2,True,3.7905976925394795,23.338810199829854,0.01316475101900665,0.030893054818683287,0.021554608552413448,0.8625695755635814,0.07181801004631522
600,10.0,1,2,True,3.796496585709981,23.38739709076659,0.013182728620762,0.030931863821275118,0.021425434517640892,0.8577443438983492,0.07671562914197276
200,10.0,1,5,True,3.801619913673118,23.471271329757283,0.011965114189777342,0.02904118136466295,0.019430919396721008,0.8646051216534263,0.07495766339541243
400,10.0,1,5,True,3.777567631772502,23.18141187503693,0.011815479054390338,0.029002756829200865,0.019687627224725154,0.8693506671701944,0.07014346972148934
600,10.0,1,5,True,3.7822545763282247,23.202803608536648,0.011864349425340563,0.029045304203382586,0.01956936750749727,0.8644516365606195,0.07506934230316008
200,10.0,1,10,True,3.7684003596999713,22.99737616915669,0.009739167573329276,0.025043927204567194,0.016040585493915693,0.8777199598656719,0.07145635986251589
400,10.0,1,10,True,3.7445706509326513,22.723619244623514,0.009591209197400806,0.0249419895286952,0.016336590692478226,0.8826050451035481,0.06652516547787761
600,10.0,1,10,True,3.7460228387691767,22.74002422702296,0.009684088422423211,0.024963453970619578,0.016218762876617665,0.8776582958990506,0.07147539883128887
200,10.0,2,2,True,3.8025180235264373,23.43822885845065,0.01266564761974336,0.028610961796307028,0.018966092112249994,0.8653782136881996,0.07437908478350008
400,10.0,2,2,True,3.7868983819363184,23.277613591977797,0.012525831790735716,0.028496085913139575,0.019165460538617705,0.8701983877354578,0.06961423402204918
600,10.0,2,2,True,3.7861470334825165,23.26268301511947,0.012603334827320383,0.028433218678759507,0.019068779359243643,0.86532054496307,0.07457412217160664
200,10.0,2,5,True,3.8004520605729133,23.39411984828652,0.012097641230722723,0.027977454039357887,0.018270745855326467,0.8678426394965483,0.07381151937804482
400,10.0,2,5,True,3.78263793109879,23.197727610910256,0.012029126227861455,0.027823268991883525,0.018504369294148237,0.872597412981451,0.0690458225046558
600,10.0,2,5,True,3.7819816121623444,23.186410090788005,0.012091316849204057,0.027750564750183768,0.018401583632596325,0.8677746991082103,0.07398183565980554
200,10.0,2,10,True,3.7607459352462187,22.940833960709696,0.009807667590948432,0.02412027800275998,0.015150688199523565,0.8804099468763172,0.07051141933045087
400,10.0,2,10,True,3.7432440300968404,22.72424442032062,0.009682196048936668,0.02399151442259538,0.015386116289578207,0.8853026013270057,0.06563757191188421
600,10.0,2,10,True,3.742974746651998,22.717836359619113,0.0097781446498558,0.023944474299080025,0.015257388860712477,0.8804003133899339,0.07061967880041797
